O3,NO,NO2,NOx,SO2,CO,PM10,PM2_5,WindDir,WindSpeed,Temp,datetime,hour,dayofweek,hour_sin,hour_cos,dow_sin,dow_cos,SO2_lag_1,SO2_lag_6,SO2_lag_12,SO2_lag_24
45.6708,0.5336,9.95189,10.77007,0.47374,0.056394,3.65,1.698,17.9,4.7,2.1,2021-01-01 06:00:00,6.0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.47374,0.47374,0.23687,1.65808
35.4535,0.84749,17.88472,19.18418,0.35531,0.063443,3.85,1.604,13.6,4.3,1.8,2021-01-01 07:00:00,7.0,4.0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.47374,0.47374,0.47374,0.94748
43.99583,0.59638,9.85563,10.77007,0.47374,0.074018,4.0,1.698,9.9,4.1,1.6,2021-01-01 08:00:00,8.0,4.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.23687,0.35531,0.47374,0.94748
49.35573,0.5336,6.97089,7.78907,0.11843,0.070492,4.95,2.005,9.8,4.2,1.5,2021-01-01 09:00:00,9.0,4.0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.0,0.23687,0.47374,0.47374
52.20318,0.5336,5.38422,6.20241,0.35531,0.063443,5.9,2.288,7.2,3.9,1.5,2021-01-01 10:00:00,10.0,4.0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.23687,0.0,0.71061,0.47374
46.84328,1.28693,7.69095,9.66421,0.47374,0.070492,5.7,2.594,5.0,3.5,2.4,2021-01-01 11:00:00,11.0,4.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.47374,0.35531,0.0,0.23687
42.3767,1.56942,10.67152,13.07794,0.41452,0.084591,4.625,2.335,7.1,3.5,3.8,2021-01-01 12:00:00,12.0,4.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.47374,0.47374,0.23687,0.23687
40.19924,1.94609,11.92105,14.905,0.59217,0.095165,4.55,2.288,8.3,3.9,4.5,2021-01-01 13:00:00,13.0,4.0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.71061,0.23687,0.47374,0.47374
41.26005,1.25554,9.37382,11.29895,0.47374,0.105738,4.85,2.877,9.6,4.1,4.6,2021-01-01 14:00:00,14.0,4.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.71061,0.71061,0.47374,0.11843
44.21916,1.16137,10.7683,12.54905,0.59217,0.095165,4.625,2.288,353.3,3.7,4.1,2021-01-01 15:00:00,15.0,4.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.71061,0.71061,0.71061,0.71061
